epoch	loss	prec1	prec5	lr
1	1.2632465362548828	53.22840118408203	93.80744171142578	0.04
2	0.9324479103088379	66.36029815673828	97.67922973632812	0.04
3	0.8357840776443481	70.48483276367188	98.38005828857422	0.04
4	0.698710024356842	74.77021789550781	98.57537078857422	0.04
5	0.6447834372520447	77.1484375	99.01194763183594	0.04
6	0.5866386890411377	79.14752197265625	99.37959289550781	0.04
7	0.5802460312843323	79.69898986816406	99.25321960449219	0.04
8	0.4807582199573517	83.72013092041016	99.44853210449219	0.04
9	0.48625969886779785	82.77803039550781	99.54044342041016	0.04
10	0.41862955689430237	85.86856842041016	99.77021789550781	0.04
11	0.41042783856391907	86.10983276367188	99.64384460449219	0.04
12	0.3526507019996643	88.3616714477539	99.74724578857422	0.04
13	0.3266804814338684	89.10845947265625	99.85064697265625	0.04
14	0.34041112661361694	88.44209289550781	99.86212921142578	0.04
15	0.3202715516090393	89.61396789550781	99.94255828857422	0.04
16	0.2980078160762787	90.28033447265625	99.8851089477539	0.04
17	0.2603680193424225	91.796875	99.81617736816406	0.04
18	0.21216855943202972	93.19853210449219	99.94255828857422	0.04
19	0.24162954092025757	92.39430236816406	99.94255828857422	0.04
20	0.19885016977787018	94.10615539550781	99.96553039550781	0.04
21	0.19207163155078888	93.88787078857422	99.94255828857422	0.04
22	0.19092047214508057	93.95680236816406	99.96553039550781	0.04
23	0.1897301971912384	94.04871368408203	99.97702026367188	0.04
24	0.19866198301315308	93.76148986816406	99.93106842041016	0.04
25	0.13769279420375824	95.94439697265625	99.96553039550781	0.04
26	0.15270869433879852	95.53079223632812	100.0	0.04
27	0.16244183480739594	95.14016723632812	99.98851013183594	0.04
28	0.148737370967865	95.5882339477539	99.97702026367188	0.04
29	0.14927466213703156	95.45037078857422	99.96553039550781	0.04
30	0.14739495515823364	95.47334289550781	100.0	0.04
31	0.10279713571071625	97.31158447265625	99.98851013183594	0.04
32	0.1404813677072525	95.88694763183594	99.95404815673828	0.04
33	0.13246631622314453	96.19715118408203	99.97702026367188	0.04
34	0.11261358112096786	97.04733276367188	99.97702026367188	0.04
35	0.10694321244955063	97.03584289550781	99.98851013183594	0.04
36	0.11840367317199707	96.875	100.0	0.04
37	0.08916354924440384	97.63327026367188	100.0	0.04
38	0.07487322390079498	98.26516723632812	99.98851013183594	0.04
39	0.08541442453861237	97.94347381591797	99.98851013183594	0.04
40	0.04530986025929451	99.17279815673828	100.0	0.004
41	0.030729448422789574	99.67830657958984	100.0	0.004
42	0.030872611328959465	99.70128631591797	100.0	0.004
43	0.023953767493367195	99.8851089477539	100.0	0.004
44	0.02636645920574665	99.66681671142578	100.0	0.004
45	0.026356913149356842	99.77021789550781	100.0	0.004
46	0.021977948024868965	99.8046875	100.0	0.004
47	0.020107001066207886	99.90808868408203	100.0	0.004
48	0.01933344453573227	99.93106842041016	100.0	0.004
49	0.018335312604904175	99.94255828857422	100.0	0.004
50	0.019996892660856247	99.8851089477539	100.0	0.004
